# z, H_model(z)
0.000000 71.922183
0.012879 72.296143
0.025759 72.677735
0.038638 73.066963
0.051518 73.463823
0.064397 73.868314
0.077276 74.280428
0.090156 74.700158
0.103035 75.127495
0.115915 75.562425
0.128794 76.004935
0.141673 76.455008
0.154553 76.912628
0.167432 77.377773
0.180312 77.850422
0.193191 78.330553
0.206070 78.818140
0.218950 79.313158
0.231829 79.815579
0.244709 80.325374
0.257588 80.842512
0.270467 81.366963
0.283347 81.898693
0.296226 82.437669
0.309106 82.983856
0.321985 83.537219
0.334864 84.097720
0.347744 84.665323
0.360623 85.239989
0.373503 85.821679
0.386382 86.410353
0.399261 87.005971
0.412141 87.608493
0.425020 88.217877
0.437899 88.834081
0.450779 89.457063
0.463658 90.086780
0.476538 90.723190
0.489417 91.366249
0.502296 92.015915
0.515176 92.672142
0.528055 93.334888
0.540935 94.004109
0.553814 94.679760
0.566693 95.361797
0.579573 96.050177
0.592452 96.744856
0.605332 97.445788
0.618211 98.152931
0.631090 98.866240
0.643970 99.585672
0.656849 100.311183
0.669729 101.042728
0.682608 101.780266
0.695487 102.523752
0.708367 103.273145
0.721246 104.028400
0.734126 104.789476
0.747005 105.556330
0.759884 106.328920
0.772764 107.107205
0.785643 107.891144
0.798523 108.680695
0.811402 109.475817
0.824281 110.276470
0.837161 111.082615
0.850040 111.894210
0.862920 112.711218
0.875799 113.533598
0.888678 114.361312
0.901558 115.194322
0.914437 116.032590
0.927317 116.876078
0.940196 117.724750
0.953075 118.578567
0.965955 119.437495
0.978834 120.301496
0.991714 121.170536
1.004593 122.044578
1.017472 122.923589
1.030352 123.807533
1.043231 124.696376
1.056111 125.590086
1.068990 126.488628
1.081869 127.391969
1.094749 128.300077
1.107628 129.212920
1.120508 130.130467
1.133387 131.052685
1.146266 131.979543
1.159146 132.911012
1.172025 133.847061
1.184905 134.787659
1.197784 135.732778
1.210663 136.682388
1.223543 137.636460
1.236422 138.594966
1.249302 139.557878
1.262181 140.525169
1.275060 141.496810
1.287940 142.472775
1.300819 143.453037
1.313698 144.437570
1.326578 145.426348
1.339457 146.419345
1.352337 147.416535
1.365216 148.417894
1.378095 149.423398
1.390975 150.433020
1.403854 151.446739
1.416734 152.464529
1.429613 153.486367
1.442492 154.512231
1.455372 155.542097
1.468251 156.575943
1.481131 157.613746
1.494010 158.655484
1.506889 159.701137
1.519769 160.750681
1.532648 161.804097
1.545528 162.861363
1.558407 163.922459
1.571286 164.987364
1.584166 166.056058
1.597045 167.128522
1.609925 168.204735
1.622804 169.284679
1.635683 170.368334
1.648563 171.455682
1.661442 172.546703
1.674322 173.641380
1.687201 174.739694
1.700080 175.841628
1.712960 176.947163
1.725839 178.056282
1.738719 179.168968
1.751598 180.285204
1.764477 181.404973
1.777357 182.528259
1.790236 183.655044
1.803116 184.785313
1.815995 185.919050
1.828874 187.056238
1.841754 188.196863
1.854633 189.340909
1.867513 190.488359
1.880392 191.639201
1.893271 192.793418
1.906151 193.950995
1.919030 195.111919
1.931910 196.276175
1.944789 197.443748
1.957668 198.614625
1.970548 199.788791
1.983427 200.966233
1.996307 202.146938
2.009186 203.330892
2.022065 204.518082
2.034945 205.708494
2.047824 206.902117
2.060704 208.098936
2.073583 209.298939
2.086462 210.502114
2.099342 211.708449
2.112221 212.917931
2.125101 214.130548
2.137980 215.346289
2.150859 216.565140
2.163739 217.787092
2.176618 219.012132
2.189497 220.240248
2.202377 221.471430
2.215256 222.705666
2.228136 223.942945
2.241015 225.183256
2.253894 226.426589
2.266774 227.672932
2.279653 228.922276
2.292533 230.174609
2.305412 231.429921
2.318291 232.688203
2.331171 233.949443
2.344050 235.213632
2.356930 236.480760
2.369809 237.750817
2.382688 239.023793
2.395568 240.299679
2.408447 241.578465
2.421327 242.860141
2.434206 244.144699
2.447085 245.432129
2.459965 246.722421
2.472844 248.015568
2.485724 249.311559
2.498603 250.610386
2.511482 251.912041
2.524362 253.216513
2.537241 254.523796
2.550121 255.833879
2.563000 257.146756
