# z, H_obs, sigma_H, H_model, residual
0.000000 68.000000 7.000000 73.520957 -5.520957
0.000000 73.900000 3.000000 73.520957 0.379043
0.000000 71.600000 3.600000 73.520957 -1.920957
0.510000 93.249000 1.813000 92.348015 0.900985
0.706000 104.791000 1.777000 102.706931 2.084069
0.934000 115.567000 1.264000 116.701512 -1.134512
1.321000 143.814000 2.242000 144.567084 -0.753084
1.484000 159.063000 6.404000 157.632730 1.430270
2.330000 236.181000 2.763000 235.467195 0.713805
