# z, H_model(z)
0.000000 69.776342
0.012879 70.194525
0.025759 70.619996
0.038638 71.052727
0.051518 71.492691
0.064397 71.939859
0.077276 72.394202
0.090156 72.855691
0.103035 73.324294
0.115915 73.799982
0.128794 74.282723
0.141673 74.772485
0.154553 75.269238
0.167432 75.772948
0.180312 76.283583
0.193191 76.801111
0.206070 77.325498
0.218950 77.856713
0.231829 78.394721
0.244709 78.939491
0.257588 79.490987
0.270467 80.049179
0.283347 80.614030
0.296226 81.185510
0.309106 81.763584
0.321985 82.348218
0.334864 82.939381
0.347744 83.537037
0.360623 84.141154
0.373503 84.751698
0.386382 85.368637
0.399261 85.991936
0.412141 86.621563
0.425020 87.257485
0.437899 87.899667
0.450779 88.548077
0.463658 89.202683
0.476538 89.863450
0.489417 90.530346
0.502296 91.203338
0.515176 91.882392
0.528055 92.567477
0.540935 93.258558
0.553814 93.955604
0.566693 94.658581
0.579573 95.367457
0.592452 96.082199
0.605332 96.802774
0.618211 97.529150
0.631090 98.261294
0.643970 98.999174
0.656849 99.742757
0.669729 100.492010
0.682608 101.246903
0.695487 102.007402
0.708367 102.773474
0.721246 103.545089
0.734126 104.322214
0.747005 105.104817
0.759884 105.892866
0.772764 106.686329
0.785643 107.485174
0.798523 108.289371
0.811402 109.098887
0.824281 109.913692
0.837161 110.733753
0.850040 111.559039
0.862920 112.389521
0.875799 113.225165
0.888678 114.065943
0.901558 114.911823
0.914437 115.762775
0.927317 116.618767
0.940196 117.479771
0.953075 118.345756
0.965955 119.216692
0.978834 120.092550
0.991714 120.973299
1.004593 121.858910
1.017472 122.749355
1.030352 123.644604
1.043231 124.544628
1.056111 125.449399
1.068990 126.358888
1.081869 127.273067
1.094749 128.191908
1.107628 129.115383
1.120508 130.043464
1.133387 130.976125
1.146266 131.913337
1.159146 132.855074
1.172025 133.801310
1.184905 134.752016
1.197784 135.707169
1.210663 136.666740
1.223543 137.630704
1.236422 138.599037
1.249302 139.571711
1.262181 140.548703
1.275060 141.529987
1.287940 142.515539
1.300819 143.505334
1.313698 144.499348
1.326578 145.497557
1.339457 146.499937
1.352337 147.506465
1.365216 148.517118
1.378095 149.531872
1.390975 150.550706
1.403854 151.573595
1.416734 152.600519
1.429613 153.631454
1.442492 154.666380
1.455372 155.705274
1.468251 156.748116
1.481131 157.794884
1.494010 158.845557
1.506889 159.900115
1.519769 160.958537
1.532648 162.020803
1.545528 163.086894
1.558407 164.156789
1.571286 165.230468
1.584166 166.307914
1.597045 167.389106
1.609925 168.474026
1.622804 169.562655
1.635683 170.654974
1.648563 171.750966
1.661442 172.850613
1.674322 173.953896
1.687201 175.060799
1.700080 176.171303
1.712960 177.285392
1.725839 178.403049
1.738719 179.524257
1.751598 180.648999
1.764477 181.777259
1.777357 182.909020
1.790236 184.044268
1.803116 185.182985
1.815995 186.325157
1.828874 187.470767
1.841754 188.619801
1.854633 189.772244
1.867513 190.928080
1.880392 192.087295
1.893271 193.249875
1.906151 194.415804
1.919030 195.585069
1.931910 196.757655
1.944789 197.933549
1.957668 199.112737
1.970548 200.295205
1.983427 201.480940
1.996307 202.669928
2.009186 203.862157
2.022065 205.057613
2.034945 206.256284
2.047824 207.458156
2.060704 208.663218
2.073583 209.871457
2.086462 211.082860
2.099342 212.297416
2.112221 213.515112
2.125101 214.735937
2.137980 215.959879
2.150859 217.186925
2.163739 218.417066
2.176618 219.650289
2.189497 220.886583
2.202377 222.125936
2.215256 223.368339
2.228136 224.613780
2.241015 225.862249
2.253894 227.113734
2.266774 228.368225
2.279653 229.625711
2.292533 230.886184
2.305412 232.149631
2.318291 233.416044
2.331171 234.685411
2.344050 235.957724
2.356930 237.232972
2.369809 238.511146
2.382688 239.792235
2.395568 241.076232
2.408447 242.363126
2.421327 243.652907
2.434206 244.945567
2.447085 246.241097
2.459965 247.539488
2.472844 248.840730
2.485724 250.144814
2.498603 251.451733
2.511482 252.761477
2.524362 254.074037
2.537241 255.389406
2.550121 256.707575
2.563000 258.028535
