# z, H_model(z)
0.000000 71.922184
0.012879 72.296144
0.025759 72.677737
0.038638 73.066964
0.051518 73.463824
0.064397 73.868315
0.077276 74.280429
0.090156 74.700160
0.103035 75.127496
0.115915 75.562426
0.128794 76.004936
0.141673 76.455009
0.154553 76.912628
0.167432 77.377774
0.180312 77.850423
0.193191 78.330554
0.206070 78.818141
0.218950 79.313159
0.231829 79.815580
0.244709 80.325375
0.257588 80.842513
0.270467 81.366964
0.283347 81.898694
0.296226 82.437670
0.309106 82.983857
0.321985 83.537220
0.334864 84.097721
0.347744 84.665324
0.360623 85.239989
0.373503 85.821679
0.386382 86.410353
0.399261 87.005972
0.412141 87.608494
0.425020 88.217877
0.437899 88.834081
0.450779 89.457063
0.463658 90.086781
0.476538 90.723190
0.489417 91.366250
0.502296 92.015915
0.515176 92.672142
0.528055 93.334888
0.540935 94.004109
0.553814 94.679760
0.566693 95.361798
0.579573 96.050178
0.592452 96.744856
0.605332 97.445789
0.618211 98.152931
0.631090 98.866241
0.643970 99.585672
0.656849 100.311183
0.669729 101.042728
0.682608 101.780266
0.695487 102.523752
0.708367 103.273145
0.721246 104.028400
0.734126 104.789475
0.747005 105.556330
0.759884 106.328920
0.772764 107.107205
0.785643 107.891144
0.798523 108.680695
0.811402 109.475817
0.824281 110.276470
0.837161 111.082615
0.850040 111.894210
0.862920 112.711217
0.875799 113.533598
0.888678 114.361312
0.901558 115.194322
0.914437 116.032590
0.927317 116.876078
0.940196 117.724749
0.953075 118.578567
0.965955 119.437494
0.978834 120.301496
0.991714 121.170535
1.004593 122.044578
1.017472 122.923588
1.030352 123.807532
1.043231 124.696376
1.056111 125.590085
1.068990 126.488627
1.081869 127.391968
1.094749 128.300077
1.107628 129.212920
1.120508 130.130466
1.133387 131.052684
1.146266 131.979543
1.159146 132.911011
1.172025 133.847060
1.184905 134.787658
1.197784 135.732777
1.210663 136.682387
1.223543 137.636459
1.236422 138.594965
1.249302 139.557877
1.262181 140.525168
1.275060 141.496809
1.287940 142.472774
1.300819 143.453036
1.313698 144.437569
1.326578 145.426347
1.339457 146.419343
1.352337 147.416534
1.365216 148.417893
1.378095 149.423396
1.390975 150.433019
1.403854 151.446737
1.416734 152.464528
1.429613 153.486366
1.442492 154.512230
1.455372 155.542096
1.468251 156.575941
1.481131 157.613744
1.494010 158.655483
1.506889 159.701135
1.519769 160.750680
1.532648 161.804096
1.545528 162.861362
1.558407 163.922458
1.571286 164.987363
1.584166 166.056057
1.597045 167.128520
1.609925 168.204734
1.622804 169.284678
1.635683 170.368333
1.648563 171.455680
1.661442 172.546701
1.674322 173.641378
1.687201 174.739692
1.700080 175.841626
1.712960 176.947161
1.725839 178.056280
1.738719 179.168966
1.751598 180.285202
1.764477 181.404971
1.777357 182.528257
1.790236 183.655042
1.803116 184.785311
1.815995 185.919048
1.828874 187.056236
1.841754 188.196861
1.854633 189.340906
1.867513 190.488357
1.880392 191.639199
1.893271 192.793415
1.906151 193.950993
1.919030 195.111917
1.931910 196.276172
1.944789 197.443745
1.957668 198.614622
1.970548 199.788789
1.983427 200.966231
1.996307 202.146936
2.009186 203.330890
2.022065 204.518079
2.034945 205.708492
2.047824 206.902114
2.060704 208.098933
2.073583 209.298937
2.086462 210.502112
2.099342 211.708447
2.112221 212.917929
2.125101 214.130546
2.137980 215.346286
2.150859 216.565138
2.163739 217.787089
2.176618 219.012129
2.189497 220.240245
2.202377 221.471427
2.215256 222.705663
2.228136 223.942942
2.241015 225.183253
2.253894 226.426586
2.266774 227.672929
2.279653 228.922273
2.292533 230.174606
2.305412 231.429918
2.318291 232.688200
2.331171 233.949440
2.344050 235.213629
2.356930 236.480757
2.369809 237.750814
2.382688 239.023790
2.395568 240.299676
2.408447 241.578461
2.421327 242.860138
2.434206 244.144696
2.447085 245.432125
2.459965 246.722418
2.472844 248.015564
2.485724 249.311556
2.498603 250.610383
2.511482 251.912037
2.524362 253.216510
2.537241 254.523792
2.550121 255.833876
2.563000 257.146752
