# z, mu_model(z)
0.000610 27.005826
0.010143 33.126778
0.019677 34.579446
0.029210 35.450925
0.038744 36.077643
0.048277 36.568559
0.057811 36.972931
0.067344 37.317268
0.076878 37.617486
0.086411 37.883893
0.095944 38.123554
0.105478 38.341517
0.115011 38.541520
0.124545 38.726406
0.134078 38.898390
0.143612 39.059228
0.153145 39.210340
0.162679 39.352886
0.172212 39.487830
0.181746 39.615981
0.191279 39.738022
0.200812 39.854538
0.210346 39.966032
0.219879 40.072942
0.229413 40.175649
0.238946 40.274487
0.248480 40.369752
0.258013 40.461707
0.267547 40.550586
0.277080 40.636599
0.286613 40.719934
0.296147 40.800762
0.305680 40.879236
0.315214 40.955497
0.324747 41.029673
0.334281 41.101879
0.343814 41.172223
0.353348 41.240803
0.362881 41.307710
0.372414 41.373027
0.381948 41.436832
0.391481 41.499195
0.401015 41.560184
0.410548 41.619861
0.420082 41.678283
0.429615 41.735504
0.439149 41.791574
0.448682 41.846541
0.458215 41.900449
0.467749 41.953340
0.477282 42.005252
0.486816 42.056223
0.496349 42.106287
0.505883 42.155477
0.515416 42.203824
0.524950 42.251358
0.534483 42.298106
0.544017 42.344094
0.553550 42.389348
0.563083 42.433891
0.572617 42.477746
0.582150 42.520934
0.591684 42.563476
0.601217 42.605392
0.610751 42.646699
0.620284 42.687416
0.629818 42.727560
0.639351 42.767147
0.648884 42.806192
0.658418 42.844711
0.667951 42.882718
0.677485 42.920226
0.687018 42.957248
0.696552 42.993798
0.706085 43.029886
0.715619 43.065525
0.725152 43.100727
0.734685 43.135501
0.744219 43.169858
0.753752 43.203808
0.763286 43.237361
0.772819 43.270525
0.782353 43.303311
0.791886 43.335726
0.801420 43.367779
0.810953 43.399477
0.820487 43.430829
0.830020 43.461843
0.839553 43.492524
0.849087 43.522881
0.858620 43.552921
0.868154 43.582649
0.877687 43.612072
0.887221 43.641196
0.896754 43.670028
0.906288 43.698572
0.915821 43.726836
0.925354 43.754824
0.934888 43.782541
0.944421 43.809992
0.953955 43.837184
0.963488 43.864120
0.973022 43.890805
0.982555 43.917244
0.992089 43.943441
1.001622 43.969400
1.011155 43.995127
1.020689 44.020624
1.030222 44.045896
1.039756 44.070947
1.049289 44.095780
1.058823 44.120400
1.068356 44.144809
1.077890 44.169012
1.087423 44.193012
1.096956 44.216811
1.106490 44.240414
1.116023 44.263824
1.125557 44.287043
1.135090 44.310074
1.144624 44.332921
1.154157 44.355587
1.163691 44.378073
1.173224 44.400384
1.182758 44.422521
1.192291 44.444488
1.201824 44.466286
1.211358 44.487918
1.220891 44.509387
1.230425 44.530696
1.239958 44.551845
1.249492 44.572839
1.259025 44.593678
1.268559 44.614366
1.278092 44.634904
1.287625 44.655294
1.297159 44.675538
1.306692 44.695639
1.316226 44.715599
1.325759 44.735418
1.335293 44.755100
1.344826 44.774646
1.354360 44.794058
1.363893 44.813337
1.373426 44.832486
1.382960 44.851506
1.392493 44.870399
1.402027 44.889165
1.411560 44.907808
1.421094 44.926329
1.430627 44.944728
1.440161 44.963008
1.449694 44.981171
1.459228 44.999216
1.468761 45.017147
1.478294 45.034964
1.487828 45.052669
1.497361 45.070263
1.506895 45.087748
1.516428 45.105124
1.525962 45.122393
1.535495 45.139557
1.545029 45.156616
1.554562 45.173572
1.564095 45.190425
1.573629 45.207178
1.583162 45.223832
1.592696 45.240386
1.602229 45.256843
1.611763 45.273204
1.621296 45.289470
1.630830 45.305641
1.640363 45.321719
1.649896 45.337705
1.659430 45.353599
1.668963 45.369404
1.678497 45.385119
1.688030 45.400746
1.697564 45.416286
1.707097 45.431739
1.716631 45.447107
1.726164 45.462391
1.735697 45.477590
1.745231 45.492707
1.754764 45.507742
1.764298 45.522696
1.773831 45.537569
1.783365 45.552364
1.792898 45.567079
1.802432 45.581717
1.811965 45.596277
1.821499 45.610761
1.831032 45.625170
1.840565 45.639504
1.850099 45.653764
1.859632 45.667951
1.869166 45.682065
1.878699 45.696107
1.888233 45.710078
1.897766 45.723978
1.907300 45.737808
1.916833 45.751570
1.926366 45.765263
1.935900 45.778887
1.945433 45.792445
1.954967 45.805936
1.964500 45.819361
1.974034 45.832721
1.983567 45.846016
1.993101 45.859246
2.002634 45.872414
2.012167 45.885518
2.021701 45.898559
2.031234 45.911539
2.040768 45.924457
2.050301 45.937315
2.059835 45.950113
2.069368 45.962850
2.078902 45.975529
2.088435 45.988149
2.097969 46.000710
2.107502 46.013214
2.117035 46.025661
2.126569 46.038052
2.136102 46.050386
2.145636 46.062664
2.155169 46.074888
2.164703 46.087056
2.174236 46.099170
2.183770 46.111231
2.193303 46.123238
2.202836 46.135192
2.212370 46.147094
2.221903 46.158943
2.231437 46.170741
2.240970 46.182488
2.250504 46.194184
2.260037 46.205830
2.269571 46.217426
2.279104 46.228972
2.288637 46.240469
2.298171 46.251918
2.307704 46.263318
2.317238 46.274670
2.326771 46.285974
2.336305 46.297231
2.345838 46.308442
2.355372 46.319606
2.364905 46.330723
2.374439 46.341795
