# z, mu_model(z)
0.000610 27.001514
0.010143 33.122705
0.019677 34.575772
0.029210 35.447653
0.038744 36.074770
0.048277 36.566083
0.057811 36.970849
0.067344 37.315575
0.076878 37.616177
0.086411 37.882962
0.095944 38.122992
0.105478 38.341319
0.115011 38.541677
0.124545 38.726910
0.134078 38.899231
0.143612 39.060397
0.153145 39.211826
0.162679 39.354679
0.172212 39.489919
0.181746 39.618355
0.191279 39.740669
0.200812 39.857446
0.210346 39.969189
0.219879 40.076335
0.229413 40.179265
0.238946 40.278314
0.248480 40.373776
0.258013 40.465916
0.267547 40.554965
0.277080 40.641135
0.286613 40.724614
0.296147 40.805571
0.305680 40.884161
0.315214 40.960523
0.324747 41.034786
0.334281 41.107066
0.343814 41.177469
0.353348 41.246095
0.362881 41.313033
0.372414 41.378367
0.381948 41.442175
0.391481 41.504528
0.401015 41.565493
0.410548 41.625131
0.420082 41.683501
0.429615 41.740656
0.439149 41.796647
0.448682 41.851522
0.458215 41.905324
0.467749 41.958095
0.477282 42.009875
0.486816 42.060701
0.496349 42.110607
0.505883 42.159627
0.515416 42.207791
0.524950 42.255129
0.534483 42.301669
0.544017 42.347437
0.553550 42.392460
0.563083 42.436760
0.572617 42.480360
0.582150 42.523282
0.591684 42.565547
0.601217 42.607175
0.610751 42.648183
0.620284 42.688591
0.629818 42.728415
0.639351 42.767672
0.648884 42.806378
0.658418 42.844547
0.667951 42.882194
0.677485 42.919333
0.687018 42.955977
0.696552 42.992139
0.706085 43.027832
0.715619 43.063066
0.725152 43.097854
0.734685 43.132207
0.744219 43.166134
0.753752 43.199647
0.763286 43.232754
0.772819 43.265466
0.782353 43.297791
0.791886 43.329738
0.801420 43.361316
0.810953 43.392533
0.820487 43.423397
0.830020 43.453916
0.839553 43.484096
0.849087 43.513946
0.858620 43.543471
0.868154 43.572680
0.877687 43.601578
0.887221 43.630172
0.896754 43.658467
0.906288 43.686471
0.915821 43.714188
0.925354 43.741624
0.934888 43.768785
0.944421 43.795676
0.953955 43.822302
0.963488 43.848668
0.973022 43.874779
0.982555 43.900640
0.992089 43.926255
1.001622 43.951628
1.011155 43.976765
1.020689 44.001669
1.030222 44.026344
1.039756 44.050795
1.049289 44.075024
1.058823 44.099038
1.068356 44.122837
1.077890 44.146428
1.087423 44.169812
1.096956 44.192993
1.106490 44.215975
1.116023 44.238762
1.125557 44.261355
1.135090 44.283759
1.144624 44.305976
1.154157 44.328009
1.163691 44.349862
1.173224 44.371536
1.182758 44.393036
1.192291 44.414362
1.201824 44.435519
1.211358 44.456509
1.220891 44.477334
1.230425 44.497997
1.239958 44.518499
1.249492 44.538844
1.259025 44.559034
1.268559 44.579071
1.278092 44.598958
1.287625 44.618695
1.297159 44.638287
1.306692 44.657733
1.316226 44.677038
1.325759 44.696202
1.335293 44.715227
1.344826 44.734117
1.354360 44.752871
1.363893 44.771493
1.373426 44.789983
1.382960 44.808345
1.392493 44.826578
1.402027 44.844686
1.411560 44.862670
1.421094 44.880531
1.430627 44.898272
1.440161 44.915893
1.449694 44.933396
1.459228 44.950782
1.468761 44.968054
1.478294 44.985212
1.487828 45.002258
1.497361 45.019194
1.506895 45.036021
1.516428 45.052739
1.525962 45.069351
1.535495 45.085858
1.545029 45.102260
1.554562 45.118560
1.564095 45.134759
1.573629 45.150857
1.583162 45.166856
1.592696 45.182757
1.602229 45.198561
1.611763 45.214270
1.621296 45.229884
1.630830 45.245404
1.640363 45.260833
1.649896 45.276169
1.659430 45.291416
1.668963 45.306573
1.678497 45.321642
1.688030 45.336623
1.697564 45.351519
1.707097 45.366329
1.716631 45.381054
1.726164 45.395696
1.735697 45.410255
1.745231 45.424733
1.754764 45.439129
1.764298 45.453446
1.773831 45.467683
1.783365 45.481843
1.792898 45.495924
1.802432 45.509930
1.811965 45.523859
1.821499 45.537713
1.831032 45.551493
1.840565 45.565199
1.850099 45.578833
1.859632 45.592395
1.869166 45.605885
1.878699 45.619305
1.888233 45.632655
1.897766 45.645935
1.907300 45.659147
1.916833 45.672292
1.926366 45.685369
1.935900 45.698380
1.945433 45.711325
1.954967 45.724205
1.964500 45.737020
1.974034 45.749771
1.983567 45.762459
1.993101 45.775084
2.002634 45.787647
2.012167 45.800149
2.021701 45.812590
2.031234 45.824970
2.040768 45.837290
2.050301 45.849551
2.059835 45.861754
2.069368 45.873898
2.078902 45.885985
2.088435 45.898014
2.097969 45.909987
2.107502 45.921904
2.117035 45.933766
2.126569 45.945572
2.136102 45.957323
2.145636 45.969021
2.155169 45.980665
2.164703 45.992256
2.174236 46.003794
2.183770 46.015280
2.193303 46.026714
2.202836 46.038096
2.212370 46.049428
2.221903 46.060710
2.231437 46.071941
2.240970 46.083123
2.250504 46.094256
2.260037 46.105340
2.269571 46.116376
2.279104 46.127364
2.288637 46.138304
2.298171 46.149197
2.307704 46.160044
2.317238 46.170844
2.326771 46.181598
2.336305 46.192307
2.345838 46.202970
2.355372 46.213589
2.364905 46.224163
2.374439 46.234693
