# z, H_model(z)
0.000000 71.703589
0.012879 72.063186
0.025759 72.430475
0.038638 72.805470
0.051518 73.188185
0.064397 73.578632
0.077276 73.976818
0.090156 74.382751
0.103035 74.796432
0.115915 75.217865
0.128794 75.647048
0.141673 76.083978
0.154553 76.528649
0.167432 76.981055
0.180312 77.441186
0.193191 77.909030
0.206070 78.384574
0.218950 78.867802
0.231829 79.358698
0.244709 79.857242
0.257588 80.363414
0.270467 80.877191
0.283347 81.398550
0.296226 81.927465
0.309106 82.463909
0.321985 83.007854
0.334864 83.559270
0.347744 84.118126
0.360623 84.684391
0.373503 85.258030
0.386382 85.839010
0.399261 86.427295
0.412141 87.022849
0.425020 87.625633
0.437899 88.235611
0.450779 88.852743
0.463658 89.476990
0.476538 90.108310
0.489417 90.746663
0.502296 91.392007
0.515176 92.044300
0.528055 92.703500
0.540935 93.369562
0.553814 94.042444
0.566693 94.722101
0.579573 95.408490
0.592452 96.101565
0.605332 96.801282
0.618211 97.507596
0.631090 98.220462
0.643970 98.939835
0.656849 99.665668
0.669729 100.397918
0.682608 101.136538
0.695487 101.881484
0.708367 102.632708
0.721246 103.390168
0.734126 104.153816
0.747005 104.923609
0.759884 105.699500
0.772764 106.481446
0.785643 107.269401
0.798523 108.063321
0.811402 108.863163
0.824281 109.668881
0.837161 110.480432
0.850040 111.297773
0.862920 112.120861
0.875799 112.949652
0.888678 113.784104
0.901558 114.624175
0.914437 115.469822
0.927317 116.321005
0.940196 117.177682
0.953075 118.039811
0.965955 118.907353
0.978834 119.780268
0.991714 120.658515
1.004593 121.542055
1.017472 122.430849
1.030352 123.324859
1.043231 124.224046
1.056111 125.128372
1.068990 126.037801
1.081869 126.952294
1.094749 127.871816
1.107628 128.796330
1.120508 129.725801
1.133387 130.660192
1.146266 131.599470
1.159146 132.543599
1.172025 133.492545
1.184905 134.446275
1.197784 135.404755
1.210663 136.367952
1.223543 137.335835
1.236422 138.308369
1.249302 139.285525
1.262181 140.267270
1.275060 141.253573
1.287940 142.244404
1.300819 143.239734
1.313698 144.239531
1.326578 145.243767
1.339457 146.252412
1.352337 147.265439
1.365216 148.282818
1.378095 149.304522
1.390975 150.330523
1.403854 151.360794
1.416734 152.395309
1.429613 153.434040
1.442492 154.476962
1.455372 155.524049
1.468251 156.575275
1.481131 157.630615
1.494010 158.690045
1.506889 159.753541
1.519769 160.821077
1.532648 161.892630
1.545528 162.968178
1.558407 164.047695
1.571286 165.131161
1.584166 166.218552
1.597045 167.309846
1.609925 168.405020
1.622804 169.504055
1.635683 170.606927
1.648563 171.713616
1.661442 172.824101
1.674322 173.938362
1.687201 175.056378
1.700080 176.178129
1.712960 177.303596
1.725839 178.432759
1.738719 179.565599
1.751598 180.702096
1.764477 181.842233
1.777357 182.985991
1.790236 184.133351
1.803116 185.284296
1.815995 186.438807
1.828874 187.596868
1.841754 188.758460
1.854633 189.923568
1.867513 191.092173
1.880392 192.264260
1.893271 193.439811
1.906151 194.618812
1.919030 195.801245
1.931910 196.987095
1.944789 198.176346
1.957668 199.368983
1.970548 200.564990
1.983427 201.764353
1.996307 202.967057
2.009186 204.173087
2.022065 205.382428
2.034945 206.595067
2.047824 207.810988
2.060704 209.030179
2.073583 210.252626
2.086462 211.478314
2.099342 212.707230
2.112221 213.939362
2.125101 215.174695
2.137980 216.413218
2.150859 217.654916
2.163739 218.899778
2.176618 220.147791
2.189497 221.398942
2.202377 222.653220
2.215256 223.910612
2.228136 225.171107
2.241015 226.434692
2.253894 227.701356
2.266774 228.971087
2.279653 230.243874
2.292533 231.519705
2.305412 232.798571
2.318291 234.080459
2.331171 235.365358
2.344050 236.653258
2.356930 237.944148
2.369809 239.238019
2.382688 240.534858
2.395568 241.834656
2.408447 243.137403
2.421327 244.443089
2.434206 245.751703
2.447085 247.063236
2.459965 248.377678
2.472844 249.695020
2.485724 251.015251
2.498603 252.338363
2.511482 253.664346
2.524362 254.993191
2.537241 256.324889
2.550121 257.659430
2.563000 258.996806
