# z, H_obs, sigma_H, H_model, residual
0.070000 69.000000 19.600000 70.557836 -1.557836
0.090000 69.000000 12.000000 71.290095 -2.290095
0.120000 68.600000 26.200000 72.425022 -3.825022
0.170000 83.000000 8.000000 74.412991 8.587009
0.179000 75.000000 4.000000 74.783493 0.216507
0.199000 75.000000 5.000000 75.620526 -0.620526
0.200000 72.900000 29.600000 75.662871 -2.762871
0.270000 77.000000 14.000000 78.742399 -1.742399
0.280000 88.800000 36.600000 79.200668 9.599332
0.352000 83.000000 14.000000 82.632168 0.367832
0.380200 83.000000 13.500000 84.038116 -1.038116
0.400000 95.000000 17.000000 85.045653 9.954347
0.400400 77.000000 10.200000 85.066179 -8.066179
0.424700 87.100000 11.200000 86.325778 0.774222
0.449700 92.800000 12.900000 87.647381 5.152619
0.470000 89.000000 50.000000 88.739454 0.260546
0.478300 80.900000 9.000000 89.190801 -8.290801
0.480000 97.000000 62.000000 89.283590 7.716410
0.593000 104.000000 13.000000 95.707315 8.292685
0.680000 92.000000 8.000000 100.982879 -8.982879
0.781000 105.000000 12.000000 107.445794 -2.445794
0.875000 125.000000 17.000000 113.769319 11.230681
0.880000 90.000000 40.000000 114.113682 -24.113682
0.900000 117.000000 23.000000 115.499033 1.500967
1.037000 154.000000 20.000000 125.318254 28.681746
1.300000 168.000000 17.000000 145.663574 22.336426
1.363000 160.000000 33.600000 150.807021 9.192979
1.430000 177.000000 18.000000 156.384612 20.615388
1.530000 140.000000 14.000000 164.908904 -24.908904
1.750000 202.000000 40.000000 184.461044 17.538956
1.965000 186.500000 50.400000 204.562960 -18.062960
